,Sales_id,Category,Brand,MRP,Selling price,Discount in %
26783,3,Watches,titan,8195.0,4097.0,50.0
26784,4,Watches,titan,2638.2167045910855,9995.0,44.84758845312988
26785,5,Watches,titan,2638.2167045910855,5295.0,44.84758845312988
26786,6,Watches,giordano,9250.0,2775.0,70.0
26787,7,Watches,guess,14995.0,10496.0,30.0
26788,8,Watches,timex,5995.0,4796.0,20.0
26789,9,Watches,casio,11995.0,10795.0,10.0
26790,10,Watches,fastrack wearables,6495.0,4495.0,31.0
26791,11,Watches,fossil,2638.2167045910855,11995.0,44.84758845312988
26792,12,Watches,giordano,9995.0,2998.0,70.0
26793,13,Watches,titan,2638.2167045910855,17495.0,44.84758845312988
26794,14,Watches,skagen,11995.0,8396.0,30.0
26795,15,Watches,titan,2638.2167045910855,4695.0,44.84758845312988
26796,16,Watches,fastrack,2638.2167045910855,2650.0,44.84758845312988
26797,17,Watches,fastrack,2638.2167045910855,4395.0,44.84758845312988
26798,18,Watches,giordano,11590.0,4636.0,60.0
26799,19,Watches,emporio armani,25995.0,18196.0,30.0
26800,20,Watches,fastrack wearables,2995.0,1795.0,40.0
26801,21,Watches,casio,4995.0,3496.0,30.0
26803,23,Watches,fastrack,2638.2167045910855,3195.0,44.84758845312988
26804,24,Watches,fossil,16495.0,11546.0,30.0
26805,25,Watches,casio,5495.0,4945.0,10.0
26806,0,Watches,skagen,9995.0,6996.0,30.0
26807,1,Watches,fastrack wearables,2995.0,1795.0,40.0
26808,2,Watches,armani exchange,9995.0,7996.0,20.0
26809,3,Watches,fossil,2638.2167045910855,9495.0,44.84758845312988
26810,4,Watches,titan,2638.2167045910855,9640.0,44.84758845312988
26811,5,Watches,titan,2638.2167045910855,5195.0,44.84758845312988
26812,6,Watches,giordano,8790.0,2637.0,70.0
26813,7,Watches,giordano,15290.0,6116.0,60.0
26814,8,Watches,titan,2638.2167045910855,6295.0,44.84758845312988
26815,9,Watches,anne klein,8300.0,4980.0,40.0
26816,10,Watches,kenneth cole,2638.2167045910855,8500.0,44.84758845312988
26817,11,Watches,giordano,8950.0,2685.0,70.0
26818,12,Watches,titan,3995.0,1997.0,50.0
26819,13,Watches,michael kors,2638.2167045910855,14495.0,44.84758845312988
26820,14,Watches,titan,2638.2167045910855,19690.0,44.84758845312988
26821,15,Watches,daniel wellington,10599.0,5299.0,50.0
26822,16,Watches,giordano,13290.0,6645.0,50.0
26823,17,Watches,tommy hilfiger,2638.2167045910855,13495.0,44.84758845312988
26824,18,Watches,tommy hilfiger,8995.0,7196.0,20.0
26825,19,Watches,giordano,12990.0,3897.0,70.0
26826,20,Watches,esprit,8500.0,6375.0,25.0
26827,21,Watches,fossil,2638.2167045910855,23995.0,44.84758845312988
26829,23,Watches,casio,13495.0,10796.0,20.0
26830,24,Watches,fastrack,2638.2167045910855,2395.0,44.84758845312988
26831,25,Watches,titan,2638.2167045910855,4995.0,44.84758845312988
26832,0,Watches,fastrack,2638.2167045910855,2595.0,44.84758845312988
26833,1,Watches,fastrack,2638.2167045910855,2195.0,44.84758845312988
26834,2,Watches,michael kors,2638.2167045910855,25995.0,44.84758845312988
26835,3,Watches,coach,22995.0,11497.0,50.0
26836,4,Watches,anne klein,14995.0,8997.0,40.0
26837,5,Watches,giordano,11250.0,3375.0,70.0
26838,6,Watches,fastrack wearables,2995.0,1795.0,40.0
26839,7,Watches,emporio armani,23495.0,16446.0,30.0
26840,8,Watches,titan,9995.0,4997.0,50.0
26841,9,Watches,casio,6495.0,4546.0,30.0
26842,10,Watches,casio,5295.0,4765.0,10.0
26843,11,Watches,michael kors,2638.2167045910855,13495.0,44.84758845312988
