,Sales_id,Category,Brand,MRP,Selling price,Discount in %
29665,25,Jewellery,jewelz,1339.0,468.0,65.0
29666,0,Jewellery,shaya by caratlane,2000.0,1900.0,5.0
29667,1,Jewellery,shaya by caratlane,17300.0,13840.0,20.0
29668,2,Jewellery,ayesha,1198.0,359.0,70.0
29669,3,Jewellery,shaya by caratlane,1050.0,997.0,5.0
29670,4,Jewellery,jewelz,1099.0,384.0,65.0
29671,5,Jewellery,jewelz,1499.0,524.0,65.0
29672,6,Jewellery,fossil,2995.0,1198.0,60.0
29673,7,Jewellery,ayesha,398.0,199.0,50.0
29674,8,Jewellery,pretty women,399.0,339.0,15.0
29675,9,Jewellery,swarovski,2638.2167045910855,5450.0,44.84758845312988
29676,10,Jewellery,swarovski,2638.2167045910855,8950.0,44.84758845312988
29677,11,Jewellery,belleziya,2638.2167045910855,599.0,44.84758845312988
29678,12,Jewellery,estelle,2638.2167045910855,649.0,44.84758845312988
29679,13,Jewellery,estelle,2638.2167045910855,799.0,44.84758845312988
29680,14,Jewellery,shaya by caratlane,2638.2167045910855,2200.0,44.84758845312988
29681,15,Jewellery,giva,2599.0,2469.0,5.0
29682,16,Jewellery,estelle,2638.2167045910855,799.0,44.84758845312988
29683,17,Jewellery,giva,1999.0,1899.0,5.0
29684,18,Jewellery,tribal zone,399.0,279.0,30.0
29685,19,Jewellery,shaya by caratlane,1200.0,1140.0,5.0
29686,20,Jewellery,swarovski,7250.0,5800.0,20.0
29687,21,Jewellery,swarovski,7950.0,6360.0,20.0
29689,23,Jewellery,shaya by caratlane,1450.0,1377.0,5.0
29690,24,Jewellery,estelle,2638.2167045910855,2599.0,44.84758845312988
29691,25,Jewellery,ayesha,598.0,299.0,50.0
29692,0,Jewellery,emporio armani,9495.0,3798.0,60.0
29693,1,Jewellery,tribe amrapali,2638.2167045910855,8240.0,44.84758845312988
29694,2,Jewellery,skagen,2638.2167045910855,4495.0,44.84758845312988
29695,3,Jewellery,haute curry,799.0,559.0,30.0
29696,4,Jewellery,jewelz,516.0,180.0,65.0
29697,5,Jewellery,e2o,1099.0,659.0,40.0
29698,6,Jewellery,swarovski,10900.0,7630.0,30.0
29699,7,Jewellery,ayesha,499.0,249.0,50.0
29700,8,Jewellery,michael kors,2638.2167045910855,7495.0,44.84758845312988
29701,9,Jewellery,estelle,2638.2167045910855,1599.0,44.84758845312988
29702,10,Jewellery,swarovski,2638.2167045910855,8950.0,44.84758845312988
29703,11,Jewellery,daniel wellington,2638.2167045910855,4899.0,44.84758845312988
29704,12,Jewellery,e2o,799.0,519.0,35.0
29705,13,Jewellery,skagen,4495.0,1798.0,60.0
29706,14,Jewellery,haute curry,1299.0,909.0,30.0
29707,15,Jewellery,shaya by caratlane,5800.0,4930.0,15.0
29708,16,Jewellery,jewelz,1219.0,426.0,65.0
29709,17,Jewellery,pretty women,2638.2167045910855,299.0,44.84758845312988
29710,18,Jewellery,estelle,2638.2167045910855,649.0,44.84758845312988
29711,19,Jewellery,giva,1699.0,1614.0,5.0
29712,20,Jewellery,belleziya,2638.2167045910855,599.0,44.84758845312988
29713,21,Jewellery,pretty women,349.0,296.0,15.0
29715,23,Jewellery,ayesha,198.0,99.0,50.0
29716,24,Jewellery,ayesha,698.0,349.0,50.0
29717,25,Jewellery,swarovski,2190.0,1533.0,30.0
29718,0,Jewellery,estelle,2638.2167045910855,7999.0,44.84758845312988
29720,2,Jewellery,ayesha,2638.2167045910855,698.0,44.84758845312988
29721,3,Jewellery,swarovski,2638.2167045910855,8950.0,44.84758845312988
29722,4,Jewellery,shaya by caratlane,1000.0,950.0,5.0
29723,5,Jewellery,swarovski,2638.2167045910855,12500.0,44.84758845312988
29724,6,Jewellery,estelle,2638.2167045910855,1499.0,44.84758845312988
29725,7,Jewellery,clara,1999.0,1899.0,5.0
29726,8,Jewellery,ayesha,698.0,209.0,70.0
29727,9,Jewellery,ayesha,898.0,449.0,50.0
29728,10,Jewellery,belleziya,2638.2167045910855,799.0,44.84758845312988
29729,11,Jewellery,voylla,2638.2167045910855,399.0,44.84758845312988
29730,12,Jewellery,fossil,5795.0,2318.0,60.0
29731,13,Jewellery,swarovski,2638.2167045910855,18000.0,44.84758845312988
29732,14,Jewellery,shaya by caratlane,2638.2167045910855,1900.0,44.84758845312988
29733,15,Jewellery,estelle,2638.2167045910855,899.0,44.84758845312988
29734,16,Jewellery,ayesha,298.0,149.0,50.0
29735,17,Jewellery,swarovski,7950.0,6360.0,20.0
29736,18,Jewellery,ayesha,399.0,199.0,50.0
29737,19,Jewellery,ayesha,798.0,399.0,50.0
29738,20,Jewellery,shaya by caratlane,1300.0,1235.0,5.0
29739,21,Jewellery,michael kors,2638.2167045910855,7495.0,44.84758845312988
29741,23,Jewellery,mia,2638.2167045910855,1099.0,44.84758845312988
29742,24,Jewellery,swarovski,7090.0,4963.0,30.0
29743,25,Jewellery,estelle,2638.2167045910855,749.0,44.84758845312988
29744,0,Jewellery,ayesha,799.0,399.0,50.0
29745,1,Jewellery,ayesha,1298.0,649.0,50.0
29746,2,Jewellery,swarovski,2638.2167045910855,7250.0,44.84758845312988
29747,3,Jewellery,swarovski,2638.2167045910855,7950.0,44.84758845312988
29748,4,Jewellery,swarovski,10900.0,8720.0,20.0
29749,5,Jewellery,giva,1599.0,1519.0,5.0
29750,6,Jewellery,giva,1399.0,1329.0,5.0
29751,7,Jewellery,skagen,3995.0,1598.0,60.0
29752,8,Jewellery,estelle,2638.2167045910855,5999.0,44.84758845312988
29753,9,Jewellery,shaya by caratlane,2638.2167045910855,1250.0,44.84758845312988
29754,10,Jewellery,ayesha,699.0,209.0,70.0
29755,11,Jewellery,fossil,3795.0,1518.0,60.0
29756,12,Jewellery,shaya by caratlane,1150.0,1035.0,10.0
29757,13,Jewellery,jewelz,1219.0,426.0,65.0
29758,14,Jewellery,shaya by caratlane,2638.2167045910855,3900.0,44.84758845312988
29759,15,Jewellery,tribal zone,299.0,209.0,30.0
29760,16,Jewellery,belleziya,2638.2167045910855,799.0,44.84758845312988
29761,17,Jewellery,emporio armani,9995.0,3998.0,60.0
29762,18,Jewellery,shaya by caratlane,950.0,807.0,15.0
29763,19,Jewellery,ayesha,598.0,299.0,50.0
29764,20,Jewellery,ayesha,499.0,249.0,50.0
29765,21,Jewellery,estelle,2638.2167045910855,299.0,44.84758845312988
29767,23,Jewellery,belleziya,2638.2167045910855,499.0,44.84758845312988
29768,24,Jewellery,shaya by caratlane,2638.2167045910855,1700.0,44.84758845312988
29769,25,Jewellery,jewelz,1219.0,426.0,65.0
29770,0,Jewellery,jewelz,999.0,349.0,65.0
29771,1,Jewellery,ayesha,898.0,449.0,50.0
29772,2,Jewellery,swarovski,4450.0,3560.0,20.0
29773,3,Jewellery,emporio armani,6495.0,2598.0,60.0
29774,4,Jewellery,tribe amrapali,2638.2167045910855,17510.0,44.84758845312988
29775,5,Jewellery,shaya by caratlane,1600.0,1520.0,5.0
29776,6,Jewellery,shaya by caratlane,1050.0,997.0,5.0
29777,7,Jewellery,ayesha,2638.2167045910855,499.0,44.84758845312988
29778,8,Jewellery,ayesha,1198.0,599.0,50.0
29779,9,Jewellery,ayesha,2638.2167045910855,499.0,44.84758845312988
29780,10,Jewellery,shaya by caratlane,1900.0,1805.0,5.0
29781,11,Jewellery,tribe amrapali,2638.2167045910855,3760.0,44.84758845312988
29782,12,Jewellery,shaya by caratlane,1200.0,1140.0,5.0
29783,13,Jewellery,shaya by caratlane,12100.0,9680.0,20.0
29784,14,Jewellery,ayesha,499.0,249.0,50.0
29785,15,Jewellery,ayesha,599.0,299.0,50.0
29786,16,Jewellery,daniel wellington,2638.2167045910855,2999.0,44.84758845312988
29787,17,Jewellery,shaya by caratlane,2638.2167045910855,1600.0,44.84758845312988
29788,18,Jewellery,jewelz,1596.0,558.0,65.0
29789,19,Jewellery,shaya by caratlane,950.0,902.0,5.0
29790,20,Jewellery,shaya by caratlane,1200.0,1020.0,15.0
29791,21,Jewellery,estelle,2638.2167045910855,499.0,44.84758845312988
29793,23,Jewellery,estelle,2638.2167045910855,3299.0,44.84758845312988
29794,24,Jewellery,jewelz,1499.0,524.0,65.0
